ชื่อยา,ชื่อสามัญ,ความแรง,หน่วยนับ,ราคาทุน,ราคาจำหน่าย,Dosage Form,บัญชี,รหัส TMT สกส.,Pregnancy Cagetory
ชาชงหญ้าดอกขาว(20ซอง/กล่อง),ชาชงหญ้าดอกขาว,1.5 g.,กล่อง,60.00,73.00,POWDERS,-,9384572,
เซรุ่มแก้พิษงู ระบบประสาท (ทับสมิงคลา/เห่า/สามเหลี่ยม/จงอาง),NEUROPOLYVALENTSNAKEANTIVENIN(PURIFIED),.,Vial,"1,190.00","1,370.00",INJECTIONS,ก,777564,
เซรุ่มแก้พิษงู ระบบโลหิต (แมวเซา/เขียวหางไหม้/กะปะ),HEMATOPOLYVALENTSNAKEANTIVENIN(PURIFIED),.,Vial,"1,190.00","1,370.00",INJECTIONS,ก,776764,
เซรุ่มงูเขียวหางไหม้,ANTIVENOMSERA,.,vial,664.00,775.00,POWDERS,ก,762229,
เซรุ่มงูแมวเซา,ANTIVENOMSERA,ml.,Vial,664.00,775.00,POWDERS,ก,762361,
เซรุ่มงูเห่า,ANTIVENOMSERA,. ml.,Vial,664.00,775.00,POWDERS,ก,762293,
ตรีผลา,ตรีผลา,90 g.,แค็บซูล,0.85,2.00,CAPSULES,-,9385223,
ตำรับยาแก้ลมขึ้นเบื้องสูง,ตำรับยาแก้ลมขึ้นเบื้องสูง,2 g.,ซอง,9.00,12.00,POWDERS,-,9394521,
ตำรับยาทำลายพระสุเมรุ,ตำรับยาทำลายพระสุเมรุ,2 g.,ซอง,8.00,11.00,POWDERS,-,9394566,
เถาวัลย์เปรียง,เถาวัลย์เปรียง,500 mg.,แค็บซูล,1.00,2.00,CAPSULES,,9401885,
ทาพระเส้น,ยาทาพระเส้น,15%w/v,bottle,50.00,61.00,SOLUTIONS,,9415548,
ใบมะขามแขก (SENNA LEAF),ใบมะขามแขก,450 mg.,แค็บซูล,1.00,2.00,CAPSULES,,9092603,
ประสะไพล,ประสะไพล,250 mg.,แค็บซูล,0.96,2.00,CAPSULES,-,9389165,
ปราบชมพูทวีป,ปราบชมพูทวีป,500 mg.,แค็บซูล,0.85,2.00,CAPSULES,-,9378924,
แผ่นยาพอกดูดพิษ 20 มิลลิลิตร/ชุด,แผ่นยาพอกดูดพิษ,20 ml.,ซอง,55.00,67.00,,-,9418858,
พญายอ ครีม,พญายอ,.,หลอด (5 g.),53.50,65.00,CREAM,-,9093176,
เพชรสังฆาต(Phet Sangkhat),เพชรสังฆาต,500 mg.,แค็บซูล,1.00,2.00,CAPSULES,,9367068,
ฟ้าทะลายโจร(FATHALAICHON),ฟ้าทะลายโจร,350/21 mg.,แค็บซูล,1.22,2.00,CAPSULES,-,9093772,
มะขามป้อมน้ำ(ขวด120 ml.)(MAKAMPOM),มะขามป้อมน้ำแก้ไอ,18.9 g.,ขวด (120 ml.),28.00,35.00,SOLUTIONS,,9410953,
มะระขี้นก,มะระขี้นก,350 mg.,เม็ด,1.00,2.00,CAPSULES,,9070298,
ยาแก้ลมแก้เส้น(8เม็ด),แก้ลมแก้เส้น,500 mg.,กระปุก,11.25,15.00,CAPSULES,-,9410159,
ยาเขียวหอม,ยาเขียวหอม,500 mg.,เม็ด,0.99,2.00,TABLETS,-,9419854,
ยาจันทลีลา(32 เม็ด),จันทลีลา,500 mg.,กระปุก,15.71,20.00,CAPSULES,-,9402516,
ยาธาตุบรรจบ,ธาตุบรรจบ,500 mg.,แค็บซูล,0.85,2.00,CAPSULES,-,9374072,
ยาธาตุบรรจบ(6เม็ด/ซอง),ธาตุบรรจบ,500 mg.,ซอง,5.00,7.00,CAPSULES,-,9374072,
ยาธาตุอบเชย,ยาธาตุอบเชย,0.76 %,ขวด,25.00,31.00,SOLUTIONS,,9410948,
ยาประสะจันทร์แดง(24เม็ด),ประสะจันทร์แดง,500 mg.,กระปุก,14.57,19.00,CAPSULES,-,9372906,
ยามันทธาตุ,มันทธาตุ,500 mg.,เม็ด,1.00,2.00,CAPSULES,-,9382797,
ยาศุขไสยาศน์(10เม็ด/แผง),ศุขไสยาศน์,500 mg.,แผง,35.00,43.00,CAPSULES,-,9403045,
ยาศุขไสยาศน์(8เม็ด),ศุขไสยาศน์,500 mg.,กระปุก,11.25,15.00,CAPSULES,-,9403045,
ยาสมุนไพรตรีผลา(ใช้ในแพทย์แผนไทย),ตรีผลา,500 mg.,เม็ด,1.75,3.00,CAPSULES,,9410995,
ยาหอมเทพจิตร 20 เม็ด/ซอง,หอมเทพจิตร,200 mg.,ซอง,12.00,16.00,TABLETS,-,9373829,
ยาหอมนวโกฐ,หอมนวโกฐ,200 mg.,เม็ด,0.50,1.00,TABLETS,-,9368347,
ยาอมหญ้าดอกขาว(10เม็ด/ซอง) QUID LOZENGE,ยาอมหญ้าดอกขาว,450 mg.,ซอง,119.84,149.00,TABLETS,,,
สหัสธารา,สหัสธารา,500 mg.,แค็บซูล,1.05,2.00,CAPSULES,-,9368310,
ห้าราก,ห้าราก,300 mg.,แค็บซูล,0.70,1.50,CAPSULES,-,9405039,
อมมะแว้ง (ซอง20เม็ด) (MAWAENG),อมมะแว้ง,.,ซอง,6.05,8.00,TABLETS,-,9367215,
